Rowno,Count,Count,Row,Row,Row,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,16,16,"4,5,13,15,19,22,24,26,28,30,33,35,44,49,53,54,,,,,,,,,,,,,,,,,,,,,,,","4,5,13,15,19,22,24,26,28,30,33,35,44,49,53,54,,,,,,,,,,,,,,,,,,,,,,,",4,5,13,15,19,22,24,26,28,30,33,35,44,49,53,54,,,,,,,,,,,,,,,,,,,,,,,
82,16,16,"7,17,19,22,25,30,33,34,37,38,39,40,44,49,52,54,,,,,,,,,,,,,,,,,,,,,,,","7,17,19,22,25,30,33,34,37,38,39,40,44,49,52,54,,,,,,,,,,,,,,,,,,,,,,,",7,17,19,22,25,30,33,34,37,38,39,40,44,49,52,54,,,,,,,,,,,,,,,,,,,,,,,
4,15,15,"1,5,7,12,16,19,20,30,38,41,42,43,44,52,55,,,,,,,,,,,,,,,,,,,,,,,,","1,5,7,12,16,19,20,30,38,41,42,43,44,52,55,,,,,,,,,,,,,,,,,,,,,,,,",1,5,7,12,16,19,20,30,38,41,42,43,44,52,55,,,,,,,,,,,,,,,,,,,,,,,,
137,13,13,"15,27,28,33,43,,53,55,12,14,16,44,1,35,,,,,,,,,,,,,,,,,,,,,,,,,","15,27,28,33,43,,53,55,12,14,16,44,1,35,,,,,,,,,,,,,,,,,,,,,,,,,",15,27,28,33,43,,53,55,12,14,16,44,1,35,,,,,,,,,,,,,,,,,,,,,,,,,
30,13,13,"2,13,14,19,24,27,30,35,37,40,42,46,49,,,,,,,,,,,,,,,,,,,,,,,,,,","2,13,14,19,24,27,30,35,37,40,42,46,49,,,,,,,,,,,,,,,,,,,,,,,,,,",2,13,14,19,24,27,30,35,37,40,42,46,49,,,,,,,,,,,,,,,,,,,,,,,,,,
40,13,13,"3,12,13,19,21,22,28,34,36,37,39,43,44,,,,,,,,,,,,,,,,,,,,,,,,,,","3,12,13,19,21,22,28,34,36,37,39,43,44,,,,,,,,,,,,,,,,,,,,,,,,,,",3,12,13,19,21,22,28,34,36,37,39,43,44,,,,,,,,,,,,,,,,,,,,,,,,,,
13,12,12,"1,7,17,19,21,30,33,34,36,37,44,52,,,,,,,,,,,,,,,,,,,,,,,,,,,","1,7,17,19,21,30,33,34,36,37,44,52,,,,,,,,,,,,,,,,,,,,,,,,,,,",1,7,17,19,21,30,33,34,36,37,44,52,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,12,12,"2,7,12,19,20,21,25,30,37,38,42,52,,,,,,,,,,,,,,,,,,,,,,,,,,,","2,7,12,19,20,21,25,30,37,38,42,52,,,,,,,,,,,,,,,,,,,,,,,,,,,",2,7,12,19,20,21,25,30,37,38,42,52,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,12,12,"12,13,14,19,27,30,34,36,40,42,43,52,,,,,,,,,,,,,,,,,,,,,,,,,,,","12,13,14,19,27,30,34,36,40,42,43,52,,,,,,,,,,,,,,,,,,,,,,,,,,,",12,13,14,19,27,30,34,36,40,42,43,52,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,12,12,"12,21,24,27,35,38,40,43,49,51,53,55,,,,,,,,,,,,,,,,,,,,,,,,,,,","12,21,24,27,35,38,40,43,49,51,53,55,,,,,,,,,,,,,,,,,,,,,,,,,,,",12,21,24,27,35,38,40,43,49,51,53,55,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,11,11,"15,17,18,19,22,26,42,44,48,,52,54,,,,,,,,,,,,,,,,,,,,,,,,,,,","15,17,18,19,22,26,42,44,48,,52,54,,,,,,,,,,,,,,,,,,,,,,,,,,,",15,17,18,19,22,26,42,44,48,,52,54,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,12,12,"17,18,19,26,28,33,42,43,44,49,51,55,,,,,,,,,,,,,,,,,,,,,,,,,,,","17,18,19,26,28,33,42,43,44,49,51,55,,,,,,,,,,,,,,,,,,,,,,,,,,,",17,18,19,26,28,33,42,43,44,49,51,55,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,11,11,"1,7,10,19,25,27,30,37,39,42,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,","1,7,10,19,25,27,30,37,39,42,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,",1,7,10,19,25,27,30,37,39,42,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
