Rowno,Word,Count,Row,Root,Percent observed agreement,Aggreement Percent (Complex),Aggreement Percent (Simple)
150,सन्नाटा,3,"16,24,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",सन्नाटा,0.8826530612,6.3829787234,93.6170212766
152,सून,3,"17,28,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.8826530612,6.3829787234,93.6170212766
156,विकल,3,"17,33,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",विकल,0.8826530612,6.3829787234,93.6170212766
162,मालिन,3,"19,39,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",मालिन,0.8826530612,6.3829787234,93.6170212766
166,तेन्दुए,3,"19,44,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.8826530612,6.3829787234,93.6170212766
171,प्रथा,3,"20,38,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",प्रथा,0.8826530612,6.3829787234,93.6170212766
179,भुगतान,3,"21,25,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",भुगतान,0.8826530612,6.3829787234,93.6170212766
573,चारपाइयों,3,",28,36,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",चारपाई,0.8826530612,6.3829787234,93.6170212766
105,बँधे-बँधाये,2,"12,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.8826530612,4.2553191489,95.7446808511
7,दर्जों,2,"1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",दर्जा,0.9200680272,4.2553191489,95.7446808511
58,अंधड़,2,"4,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",अंधड़,0.9200680272,4.2553191489,95.7446808511
74,इक्नॉमिक्स,2,"20,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.9200680272,4.2553191489,95.7446808511
97,फैक्टरियाँ,2,"12,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",फैक्टरी,0.9200680272,4.2553191489,95.7446808511
101,केन्द्रीय,2,"12,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",केन्द्रीय,0.9200680272,4.2553191489,95.7446808511
107,झाँका,2,"12,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.9200680272,4.2553191489,95.7446808511
109,मँडराते,2,"12,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",मँडरा,0.9200680272,4.2553191489,95.7446808511
118,यात्रा,2,"13,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",यात्रा,0.9200680272,4.2553191489,95.7446808511
120,जिन्दगी,2,"13,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",जिन्दगी,0.9200680272,4.2553191489,95.7446808511
122,सार्वजनिक,2,"13,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",सार्वजनिक,0.9200680272,4.2553191489,95.7446808511
140,सिलसिला,2,"15,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",सिलसिला,0.9200680272,4.2553191489,95.7446808511
141,छनकर,2,"15,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",छन,0.9200680272,4.2553191489,95.7446808511
158,दर्शन,2,"18,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",दर्शन,0.9200680272,4.2553191489,95.7446808511
160,घुमेर,2,"18,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.9200680272,4.2553191489,95.7446808511
176,सौन्दर्य,2,"20,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",सौन्दर्य,0.9200680272,4.2553191489,95.7446808511
190,कलकत्ता,2,",24,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",कलकत्ता,0.9200680272,4.2553191489,95.7446808511
191,मातृत्व,2,",40,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",मातृत्व,0.9200680272,4.2553191489,95.7446808511
226,और,2,",28,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",और,0.9200680272,4.2553191489,95.7446808511
640,उमंगों,2,",54,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",उमंग,0.9200680272,4.2553191489,95.7446808511
642,घानी,2,",24,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",घानी,0.9200680272,4.2553191489,95.7446808511
653,बिन,2,"25,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.9200680272,4.2553191489,95.7446808511
655,किस्सा,2,"25,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",किस्सा,0.9200680272,4.2553191489,95.7446808511
