Rowno,Word,Count,Row,Root,Percent observed agreement,Aggreement Percent (Complex),Aggreement Percent (Simple)
74,इक्नॉमिक्स,2,"20a,35a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.9200680272,4.2553191489,95.7446808511
97,फैक्टरियाँ,2,"12a,55a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",फैक्टरी,0.9200680272,4.2553191489,95.7446808511
101,केन्द्रीय,2,"12a,32a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",केन्द्रीय,0.9200680272,4.2553191489,95.7446808511
107,झाँका,2,"12a,44a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.9200680272,4.2553191489,95.7446808511
109,मँडराते,2,"12a,26a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",मँडरा,0.9200680272,4.2553191489,95.7446808511
118,यात्रा,2,"13a,53a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",यात्रा,0.9200680272,4.2553191489,95.7446808511
120,जिन्दगी,2,"13a,53a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",जिन्दगी,0.9200680272,4.2553191489,95.7446808511
122,सार्वजनिक,2,"13a,54a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",सार्वजनिक,0.9200680272,4.2553191489,95.7446808511
140,सिलसिला,2,"15a,20a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",सिलसिला,0.9200680272,4.2553191489,95.7446808511
141,छनकर,2,"15a,27a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",छन,0.9200680272,4.2553191489,95.7446808511
158,दर्शन,2,"18a,37a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",दर्शन,0.9200680272,4.2553191489,95.7446808511
160,घुमेर,2,"18a,54a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.9200680272,4.2553191489,95.7446808511
176,सौन्दर्य,2,"20a,,53a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",सौन्दर्य,0.9200680272,4.2553191489,95.7446808511
190,कलकत्ता,2,",24a,26a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",कलकत्ता,0.9200680272,4.2553191489,95.7446808511
191,मातृत्व,2,",40a,53a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",मातृत्व,0.9200680272,4.2553191489,95.7446808511
226,और,2,",28a,46a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",और,0.9200680272,4.2553191489,95.7446808511
640,उमंगों,2,",54a,55a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",उमंग,0.9200680272,4.2553191489,95.7446808511
642,घानी,2,",24a,25a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",घानी,0.9200680272,4.2553191489,95.7446808511
653,बिन,2,"25a,28a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.9200680272,4.2553191489,95.7446808511
655,किस्सा,2,"25a,35a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",किस्सा,0.9200680272,4.2553191489,95.7446808511
666,मार्केटिंग,2,"35a,53a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",मार्केटिंग,0.9200680272,4.2553191489,95.7446808511
531,बँधतीं,1,",25a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.9200680272,2.1276595745,97.8723404255
556,विविध,1,",38a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",विविध,0.9200680272,2.1276595745,97.8723404255
587,रोशनी,1,",25a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",रोशनी,0.9200680272,2.1276595745,97.8723404255
617,सुझाव,1,",25a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",सुझाव,0.9200680272,2.1276595745,97.8723404255
658,बैठाना,1,"28a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",बैठाना,0.9200680272,2.1276595745,97.8723404255
8,महाभिनिष्क्रम,1,"1a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.9591836735,2.1276595745,97.8723404255
10,दूब,1,"1a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",दूब,0.9591836735,2.1276595745,97.8723404255
43,जकड़,1,"3a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",जकड़,0.9591836735,2.1276595745,97.8723404255
48,घेर-घुमे,1,"3a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.9591836735,2.1276595745,97.8723404255
81,हृदय,1,"7a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",हृदय,0.9591836735,2.1276595745,97.8723404255
85,दल,1,"7a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",दल,0.9591836735,2.1276595745,97.8723404255
95,भरूच,1,"12a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.9591836735,2.1276595745,97.8723404255
98,हजीरा,1,"12a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.9591836735,2.1276595745,97.8723404255
99,पवन,1,"12a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",पवन,0.9591836735,2.1276595745,97.8723404255
